Age, Workclass,Education,Education Number,Marital Status,Occupation,Relationship,Race,Sex,Hours Per Week,Native Country,isGreater
39, State-gov, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, false
50, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,13, United-States, false
38, Private, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,40, United-States, false
53, Private,11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40, United-States, false
28, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,40, Cuba, false
37, Private, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, United-States, false
49, Private,9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,16, Jamaica, false
52, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States, true
31, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, true
42, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, true
37, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,80, United-States, true
30, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,40, India, true
23, Private, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,30, United-States, false
32, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,50, United-States, false
40, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, ?, true
34, Private,7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,45, Mexico, false
25, Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,35, United-States, false
32, Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,40, United-States, false
38, Private,11th,7, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, false
43, Self-emp-not-inc, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,45, United-States, true
40, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States, true
54, Private, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,20, United-States, false
35, Federal-gov,9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,40, United-States, false
43, Private,11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, false
59, Private, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,40, United-States, false
56, Local-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, true
19, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,40, United-States, false
54, ?, Some-college,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,60, South, true
39, Private, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,80, United-States, false
49, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, false
23, Local-gov, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male,52, United-States, false
20, Private, Some-college,10, Never-married, Sales, Own-child, Black, Male,44, United-States, false
45, Private, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,40, United-States, false
30, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,40, United-States, false
22, State-gov, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male,15, United-States, false
48, Private,11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,40, Puerto-Rico, false
21, Private, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,40, United-States, false
19, Private, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,25, United-States, false
31, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,38, ?, true
48, Self-emp-not-inc, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, false
31, Private,9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,43, United-States, false
53, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, false
24, Private, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,50, United-States, false
49, Private, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,40, United-States, false
